material_id,cif_file,formula,theoretical,experimentally_observed,is_structure_representative,representative_material_id,structure_family_id,structure_family_size,n_duplicates_in_family,duplicate_material_ids
mp-1786164,SnF4_mp-1786164.cif,SnF4,True,No,True,mp-1786164,SnF4::sf-0001,2,1,mp-1401938
mp-2706,SnF4_mp-2706.cif,SnF4,False,Yes,True,mp-2706,SnF4::sf-0002,1,0,
mp-27194,SnI2_mp-27194.cif,SnI2,False,Yes,True,mp-27194,SnI2::sf-0001,1,0,
mp-978846,SnI2_mp-978846.cif,SnI2,True,No,True,mp-978846,SnI2::sf-0002,1,0,
mp-1067833,SnI3_mp-1067833.cif,SnI3,False,Yes,False,mp-1095094,SnI3::sf-0001,2,1,mp-1095094
mp-1095094,SnI3_mp-1095094.cif,SnI3,False,Yes,True,mp-1095094,SnI3::sf-0001,2,1,mp-1067833
mp-23182,SnI4_mp-23182.cif,SnI4,False,Yes,True,mp-23182,SnI4::sf-0001,1,0,
mp-571436,SnI4_mp-571436.cif,SnI4,False,Yes,True,mp-571436,SnI4::sf-0002,1,0,
mp-1366228,Sr25Cl52_mp-1366228.cif,Sr25Cl52,True,No,True,mp-1366228,Sr25Cl52::sf-0001,1,0,
mp-531572,Sr25Cl52_mp-531572.cif,Sr25Cl52,True,No,True,mp-531572,Sr25Cl52::sf-0002,1,0,
mp-724714,Sr25Cl52_mp-724714.cif,Sr25Cl52,True,No,True,mp-724714,Sr25Cl52::sf-0003,1,0,
mp-1187158,SrBr2_mp-1187158.cif,SrBr2,True,No,True,mp-1187158,SrBr2::sf-0001,1,0,
mp-32711,SrBr2_mp-32711.cif,SrBr2,False,Yes,True,mp-32711,SrBr2::sf-0002,1,0,
mp-567744,SrBr2_mp-567744.cif,SrBr2,False,Yes,True,mp-567744,SrBr2::sf-0003,1,0,
mp-980667,SrBr3_mp-980667.cif,SrBr3,True,No,True,mp-980667,SrBr3::sf-0001,1,0,
mp-23209,SrCl2_mp-23209.cif,SrCl2,False,Yes,True,mp-23209,SrCl2::sf-0001,1,0,
mp-1187157,SrCl3_mp-1187157.cif,SrCl3,True,No,True,mp-1187157,SrCl3::sf-0001,1,0,
mp-1019258,SrF2_mp-1019258.cif,SrF2,False,Yes,True,mp-1019258,SrF2::sf-0001,1,0,
mp-1102240,SrF2_mp-1102240.cif,SrF2,False,Yes,True,mp-1102240,SrF2::sf-0002,1,0,
mp-1102911,SrF2_mp-1102911.cif,SrF2,True,No,True,mp-1102911,SrF2::sf-0003,1,0,
mp-981,SrF2_mp-981.cif,SrF2,False,Yes,True,mp-981,SrF2::sf-0004,1,0,
mp-1187177,SrF3_mp-1187177.cif,SrF3,True,No,True,mp-1187177,SrF3::sf-0001,1,0,
mp-2050241,SrF3_mp-2050241.cif,SrF3,True,No,False,mp-727311,SrF3::sf-0002,2,1,mp-727311
mp-727311,SrF3_mp-727311.cif,SrF3,False,Yes,True,mp-727311,SrF3::sf-0002,2,1,mp-2050241
mp-1187162,SrF_mp-1187162.cif,SrF,True,No,True,mp-1187162,SrF::sf-0001,1,0,
mp-1187178,SrI2_mp-1187178.cif,SrI2,True,No,True,mp-1187178,SrI2::sf-0001,1,0,
mp-23181,SrI2_mp-23181.cif,SrI2,False,Yes,True,mp-23181,SrI2::sf-0002,1,0,
mp-568284,SrI2_mp-568284.cif,SrI2,False,Yes,True,mp-568284,SrI2::sf-0003,1,0,
mp-680077,Ta2Br5_mp-680077.cif,Ta2Br5,False,Yes,True,mp-680077,Ta2Br5::sf-0001,1,0,
mp-23274,Ta2Cl5_mp-23274.cif,Ta2Cl5,False,Yes,True,mp-23274,Ta2Cl5::sf-0001,1,0,
mp-32554,Ta2I5_mp-32554.cif,Ta2I5,True,No,True,mp-32554,Ta2I5::sf-0001,1,0,
mp-1198538,Ta3Br7_mp-1198538.cif,Ta3Br7,False,Yes,False,mp-29412,Ta3Br7::sf-0001,2,1,mp-29412
mp-29412,Ta3Br7_mp-29412.cif,Ta3Br7,False,Yes,True,mp-29412,Ta3Br7::sf-0001,2,1,mp-1198538
mp-23238,Ta3I7_mp-23238.cif,Ta3I7,False,Yes,True,mp-23238,Ta3I7::sf-0001,1,0,
mp-1203015,TaBr5_mp-1203015.cif,TaBr5,False,Yes,True,mp-1203015,TaBr5::sf-0001,1,0,
mp-568846,TaBr5_mp-568846.cif,TaBr5,False,Yes,True,mp-568846,TaBr5::sf-0002,1,0,
mp-727406,TaCl3_mp-727406.cif,TaCl3,False,Yes,True,mp-727406,TaCl3::sf-0001,1,0,
mp-29465,TaCl4_mp-29465.cif,TaCl4,False,Yes,True,mp-29465,TaCl4::sf-0001,1,0,
mp-29831,TaCl5_mp-29831.cif,TaCl5,False,Yes,True,mp-29831,TaCl5::sf-0001,1,0,
mp-8338,TaF3_mp-8338.cif,TaF3,False,Yes,True,mp-8338,TaF3::sf-0001,1,0,
mp-1047356,TaF5_mp-1047356.cif,TaF5,True,No,True,mp-1047356,TaF5::sf-0001,1,0,
mp-1339908,TaF5_mp-1339908.cif,TaF5,True,No,True,mp-1339908,TaF5::sf-0002,1,0,
mp-1393434,TaF5_mp-1393434.cif,TaF5,True,No,True,mp-1393434,TaF5::sf-0003,1,0,
mp-1400588,TaF5_mp-1400588.cif,TaF5,True,No,True,mp-1400588,TaF5::sf-0004,1,0,
mp-1830474,TaF5_mp-1830474.cif,TaF5,True,No,True,mp-1830474,TaF5::sf-0005,1,0,
mp-561197,TaF5_mp-561197.cif,TaF5,False,Yes,True,mp-561197,TaF5::sf-0006,1,0,
mp-567537,TaI4_mp-567537.cif,TaI4,False,Yes,True,mp-567537,TaI4::sf-0001,1,0,
mp-570679,TaI5_mp-570679.cif,TaI5,False,Yes,True,mp-570679,TaI5::sf-0001,1,0,
mp-1205852,Tb2Cl3_mp-1205852.cif,Tb2Cl3,True,No,True,mp-1205852,Tb2Cl3::sf-0001,1,0,
mp-1217859,Tb2F15_mp-1217859.cif,Tb2F15,True,No,True,mp-1217859,Tb2F15::sf-0001,1,0,
mp-1238971,Tb2F15_mp-1238971.cif,Tb2F15,True,No,True,mp-1238971,Tb2F15::sf-0002,1,0,
mp-684890,Tb4F15_mp-684890.cif,Tb4F15,False,Yes,True,mp-684890,Tb4F15::sf-0001,1,0,
mp-31007,Tb5Br8_mp-31007.cif,Tb5Br8,False,Yes,True,mp-31007,Tb5Br8::sf-0001,1,0,
mp-30985,Tb6Br7_mp-30985.cif,Tb6Br7,False,Yes,True,mp-30985,Tb6Br7::sf-0001,1,0,
mp-863746,TbBr3_mp-863746.cif,TbBr3,True,No,True,mp-863746,TbBr3::sf-0001,1,0,
mp-27924,TbBr_mp-27924.cif,TbBr,False,Yes,True,mp-27924,TbBr::sf-0001,1,0,
mp-23293,TbCl3_mp-23293.cif,TbCl3,False,Yes,True,mp-23293,TbCl3::sf-0001,1,0,
mp-568170,TbCl3_mp-568170.cif,TbCl3,False,Yes,True,mp-568170,TbCl3::sf-0002,1,0,
mp-570232,TbCl3_mp-570232.cif,TbCl3,False,Yes,True,mp-570232,TbCl3::sf-0003,1,0,
mp-27923,TbCl_mp-27923.cif,TbCl,False,Yes,True,mp-27923,TbCl::sf-0001,1,0,
mp-568342,TbCl_mp-568342.cif,TbCl,False,Yes,True,mp-568342,TbCl::sf-0002,1,0,
mp-11347,TbF3_mp-11347.cif,TbF3,False,Yes,True,mp-11347,TbF3::sf-0001,1,0,
mp-1208439,TbF4_mp-1208439.cif,TbF4,True,No,True,mp-1208439,TbF4::sf-0001,1,0,
mp-863264,TbI3_mp-863264.cif,TbI3,True,No,True,mp-863264,TbI3::sf-0001,1,0,
mp-1205299,TcBr3_mp-1205299.cif,TcBr3,False,Yes,False,mp-568753,TcBr3::sf-0001,2,1,mp-568753
mp-568753,TcBr3_mp-568753.cif,TcBr3,True,No,True,mp-568753,TcBr3::sf-0001,2,1,mp-1205299
mp-570480,TcBr4_mp-570480.cif,TcBr4,False,Yes,True,mp-570480,TcBr4::sf-0001,1,0,
mp-1078708,TcCl3_mp-1078708.cif,TcCl3,False,Yes,True,mp-1078708,TcCl3::sf-0001,1,0,
mp-1190915,TcCl3_mp-1190915.cif,TcCl3,False,Yes,True,mp-1190915,TcCl3::sf-0002,1,0,
mp-27780,TcCl4_mp-27780.cif,TcCl4,False,Yes,True,mp-27780,TcCl4::sf-0001,1,0,
mp-867369,TcF3_mp-867369.cif,TcF3,True,No,True,mp-867369,TcF3::sf-0001,1,0,
mp-1203061,TcF4_mp-1203061.cif,TcF4,True,No,True,mp-1203061,TcF4::sf-0001,1,0,
mp-1025373,TcF6_mp-1025373.cif,TcF6,True,No,True,mp-1025373,TcF6::sf-0001,1,0,
mp-1208328,TcF6_mp-1208328.cif,TcF6,True,No,True,mp-1208328,TcF6::sf-0002,1,0,
mp-1203591,TcI4_mp-1203591.cif,TcI4,True,No,True,mp-1203591,TcI4::sf-0001,1,0,
mp-27648,Te2Br_mp-27648.cif,Te2Br,False,Yes,True,mp-27648,Te2Br::sf-0001,1,0,
mp-1208308,Te2Cl_mp-1208308.cif,Te2Cl,True,No,True,mp-1208308,Te2Cl::sf-0001,1,0,
mp-27655,Te2I_mp-27655.cif,Te2I,False,Yes,True,mp-27655,Te2I::sf-0001,1,0,
mp-27628,Te3Cl2_mp-27628.cif,Te3Cl2,False,Yes,True,mp-27628,Te3Cl2::sf-0001,1,0,
mp-685011,Te8I3_mp-685011.cif,Te8I3,True,No,True,mp-685011,Te8I3::sf-0001,1,0,
mp-863764,TeBr2_mp-863764.cif,TeBr2,True,No,True,mp-863764,TeBr2::sf-0001,1,0,
mp-1208424,TeBr4_mp-1208424.cif,TeBr4,True,No,True,mp-1208424,TeBr4::sf-0001,1,0,
mp-1104734,TeBr6_mp-1104734.cif,TeBr6,False,Yes,True,mp-1104734,TeBr6::sf-0001,1,0,
mp-569561,TeCl4_mp-569561.cif,TeCl4,False,Yes,True,mp-569561,TeCl4::sf-0001,1,0,
mp-561664,TeF4_mp-561664.cif,TeF4,False,Yes,True,mp-561664,TeF4::sf-0001,1,0,
mp-1396578,TeF6_mp-1396578.cif,TeF6,True,No,True,mp-1396578,TeF6::sf-0001,1,0,
mp-1875,TeF6_mp-1875.cif,TeF6,False,Yes,True,mp-1875,TeF6::sf-0002,1,0,
mp-862773,TeI2_mp-862773.cif,TeI2,True,No,True,mp-862773,TeI2::sf-0001,1,0,
mp-1101136,TeI4_mp-1101136.cif,TeI4,True,No,True,mp-1101136,TeI4::sf-0001,1,0,
mp-1217312,TeI4_mp-1217312.cif,TeI4,True,No,True,mp-1217312,TeI4::sf-0002,1,0,
mp-567269,TeI4_mp-567269.cif,TeI4,False,Yes,True,mp-567269,TeI4::sf-0003,1,0,
mp-567914,TeI4_mp-567914.cif,TeI4,False,Yes,True,mp-567914,TeI4::sf-0004,1,0,
mp-570884,TeI4_mp-570884.cif,TeI4,False,Yes,True,mp-570884,TeI4::sf-0005,1,0,
mp-651155,TeI4_mp-651155.cif,TeI4,False,Yes,True,mp-651155,TeI4::sf-0006,1,0,
mp-2205701,TeI7_mp-2205701.cif,TeI7,True,No,False,mp-2766281,TeI7::sf-0001,2,1,mp-2766281
mp-2766281,TeI7_mp-2766281.cif,TeI7,True,No,True,mp-2766281,TeI7::sf-0001,2,1,mp-2205701
mp-725294,TeI7_mp-725294.cif,TeI7,False,Yes,True,mp-725294,TeI7::sf-0002,1,0,
mp-23273,TeI_mp-23273.cif,TeI,False,Yes,True,mp-23273,TeI::sf-0001,1,0,
mp-569766,TeI_mp-569766.cif,TeI,False,Yes,True,mp-569766,TeI::sf-0002,1,0,
mp-1191061,Th2Br5_mp-1191061.cif,Th2Br5,False,Yes,True,mp-1191061,Th2Br5::sf-0001,1,0,
mp-979116,Th3Br_mp-979116.cif,Th3Br,True,No,True,mp-979116,Th3Br::sf-0001,1,0,
mp-1187408,Th3Cl_mp-1187408.cif,Th3Cl,True,No,True,mp-1187408,Th3Cl::sf-0001,1,0,
mp-1208286,ThBr2_mp-1208286.cif,ThBr2,True,No,True,mp-1208286,ThBr2::sf-0001,1,0,
mp-1208561,ThBr2_mp-1208561.cif,ThBr2,True,No,True,mp-1208561,ThBr2::sf-0002,1,0,
mp-23160,ThBr4_mp-23160.cif,ThBr4,False,Yes,True,mp-23160,ThBr4::sf-0001,1,0,
mp-570229,ThBr4_mp-570229.cif,ThBr4,False,Yes,True,mp-570229,ThBr4::sf-0002,1,0,
mp-1208314,ThCl2_mp-1208314.cif,ThCl2,True,No,True,mp-1208314,ThCl2::sf-0001,1,0,
mp-23215,ThCl4_mp-23215.cif,ThCl4,False,Yes,True,mp-23215,ThCl4::sf-0001,1,0,
mp-567431,ThCl4_mp-567431.cif,ThCl4,False,Yes,True,mp-567431,ThCl4::sf-0002,1,0,
mp-1187440,ThCl_mp-1187440.cif,ThCl,True,No,True,mp-1187440,ThCl::sf-0001,1,0,
mp-31034,ThF4_mp-31034.cif,ThF4,False,Yes,True,mp-31034,ThF4::sf-0001,1,0,
mp-862671,ThF4_mp-862671.cif,ThF4,True,No,True,mp-862671,ThF4::sf-0002,1,0,
mp-27652,ThI2_mp-27652.cif,ThI2,False,Yes,True,mp-27652,ThI2::sf-0001,1,0,
mp-540904,ThI3_mp-540904.cif,ThI3,False,Yes,True,mp-540904,ThI3::sf-0001,1,0,
mp-27697,ThI4_mp-27697.cif,ThI4,False,Yes,True,mp-27697,ThI4::sf-0001,1,0,
mp-971768,Ti3Br_mp-971768.cif,Ti3Br,True,No,True,mp-971768,Ti3Br::sf-0001,1,0,
mp-540672,Ti7Br16_mp-540672.cif,Ti7Br16,False,Yes,True,mp-540672,Ti7Br16::sf-0001,1,0,
mp-540671,Ti7Cl16_mp-540671.cif,Ti7Cl16,False,Yes,True,mp-540671,Ti7Cl16::sf-0001,1,0,
mp-27785,TiBr2_mp-27785.cif,TiBr2,False,Yes,True,mp-27785,TiBr2::sf-0001,1,0,
mp-28214,TiBr3_mp-28214.cif,TiBr3,False,Yes,True,mp-28214,TiBr3::sf-0001,2,1,mp-571065
mp-571065,TiBr3_mp-571065.cif,TiBr3,False,Yes,False,mp-28214,TiBr3::sf-0001,2,1,mp-28214
mp-27634,TiBr4_mp-27634.cif,TiBr4,False,Yes,True,mp-27634,TiBr4::sf-0001,1,0,
mp-569814,TiBr4_mp-569814.cif,TiBr4,False,Yes,True,mp-569814,TiBr4::sf-0002,1,0,
mp-28116,TiCl2_mp-28116.cif,TiCl2,False,Yes,True,mp-28116,TiCl2::sf-0001,1,0,
mp-2017901,TiCl3_mp-2017901.cif,TiCl3,True,No,True,mp-2017901,TiCl3::sf-0001,3,2,mp-567330;mp-571424
mp-2036706,TiCl3_mp-2036706.cif,TiCl3,True,No,True,mp-2036706,TiCl3::sf-0002,2,1,mp-567354
mp-23275,TiCl3_mp-23275.cif,TiCl3,False,Yes,True,mp-23275,TiCl3::sf-0003,1,0,
mp-567330,TiCl3_mp-567330.cif,TiCl3,False,Yes,False,mp-2017901,TiCl3::sf-0001,3,2,mp-2017901;mp-571424
mp-567354,TiCl3_mp-567354.cif,TiCl3,False,Yes,False,mp-2036706,TiCl3::sf-0002,2,1,mp-2036706
mp-568230,TiCl3_mp-568230.cif,TiCl3,True,No,True,mp-568230,TiCl3::sf-0004,1,0,
mp-569756,TiCl3_mp-569756.cif,TiCl3,False,Yes,True,mp-569756,TiCl3::sf-0005,1,0,
mp-571143,TiCl3_mp-571143.cif,TiCl3,False,Yes,True,mp-571143,TiCl3::sf-0006,1,0,
mp-571377,TiCl3_mp-571377.cif,TiCl3,False,Yes,True,mp-571377,TiCl3::sf-0007,1,0,
mp-571424,TiCl3_mp-571424.cif,TiCl3,False,Yes,False,mp-2017901,TiCl3::sf-0001,3,2,mp-2017901;mp-567330
mp-30092,TiCl4_mp-30092.cif,TiCl4,False,Yes,True,mp-30092,TiCl4::sf-0001,1,0,
mp-282,TiF2_mp-282.cif,TiF2,False,Yes,True,mp-282,TiF2::sf-0001,1,0,
mp-1178963,TiF3_mp-1178963.cif,TiF3,True,No,True,mp-1178963,TiF3::sf-0001,1,0,
mp-1179375,TiF3_mp-1179375.cif,TiF3,True,No,True,mp-1179375,TiF3::sf-0002,1,0,
mp-246,TiF3_mp-246.cif,TiF3,False,Yes,True,mp-246,TiF3::sf-0003,2,1,mp-562468
