config,formula,best_structure_score,formula_background_percentile,reserved_formula
short,AcBr3,0.8266618251800537,20.417633410672853,False
short,AcCl3,0.8295347690582275,23.201856148491878,False
short,Ag2F5,0.9407604932785034,78.65429234338747,False
short,Ag2F,0.29948320984840393,0.23201856148491878,False
short,Ag3F8,0.9358555674552917,74.47795823665894,False
short,AgBr,0.6950038075447083,4.872389791183294,False
short,AgCl,0.7046929597854614,6.960556844547564,False
short,AgF2,0.9097384214401245,54.75638051044084,False
short,AgF,0.6950038075447083,4.872389791183294,False
short,AgI,0.7906069755554199,14.849187935034802,False
short,AlBr3,0.9962214231491089,100.0,True
short,AlCl3,0.9299169778823853,67.74941995359629,True
short,AlF3,0.9493364095687866,83.9907192575406,False
short,AlI3,0.9928375482559204,100.0,False
short,Au3F8,0.9518622159957886,85.84686774941996,False
short,AuBr3,0.9717106819152832,95.35962877030161,False
short,AuBr,0.7699035406112671,12.761020881670534,False
short,AuCl2,0.9637832641601562,92.11136890951276,False
short,AuCl3,0.9802014827728271,97.21577726218096,False
short,AuCl,0.7497169971466064,11.1368909512761,False
short,AuF5,0.9310309886932373,70.53364269141531,False
short,AuI,0.7744385004043579,13.225058004640372,False
short,BaBr2,0.8235045075416565,19.489559164733176,False
short,BaCl2,0.8270889520645142,20.649651972157773,False
short,BaF2,0.8353986740112305,26.450116009280745,False
short,BaF3,0.900326669216156,51.972157772621806,False
short,BaI2,0.8261265754699707,20.185614849187935,False
short,BeBr2,0.9806303977966309,97.4477958236659,False
short,BeCl2,0.9881658554077148,99.07192575406032,False
short,BeF2,0.9848330020904541,98.83990719257541,False
short,BeI2,0.981671154499054,97.91183294663574,False
short,Bi4I,0.31395769119262695,0.6960556844547563,False
short,Bi6Br7,0.7697000503540039,12.529002320185615,False
short,Bi6Cl7,0.7853586077690125,13.921113689095128,False
short,Bi9I2,0.3125629425048828,0.46403712296983757,False
short,BiBr3,0.9264992475509644,66.5893271461717,False
short,BiBr,0.762592077255249,12.064965197215777,False
short,BiCl3,0.9071942567825317,53.82830626450116,False
short,BiF3,0.8308762907981873,24.361948955916475,False
short,BiF5,0.9090041518211365,54.292343387471,False
short,BiI3,0.890547513961792,47.56380510440835,False
short,BiI,0.77397620677948,12.993039443155451,False
short,CaBr2,0.8695464730262756,39.675174013921115,False
short,CaCl2,0.9576624631881714,88.63109048723898,False
short,CaF2,0.8237453699111938,19.721577726218097,False
short,CaI2,0.868504524230957,38.74709976798144,False
short,Cd13I28,0.9124548435211182,56.61252900232019,False
short,CdBr2,0.8728797435760498,40.60324825986079,False
short,CdCl2,0.8772927522659302,42.459396751740144,False
short,CdCl4,0.9544463753700256,87.23897911832947,False
short,CdF2,0.8224852085113525,19.25754060324826,False
short,CdI2,0.9145986437797546,58.0046403712297,False
short,Ce2Br5,0.8545920848846436,32.94663573085847,False
short,CeBr3,0.8334635496139526,25.52204176334107,False
short,CeCl3,0.8288248181343079,22.73781902552204,False
short,CeF3,0.8446100950241089,27.842227378190255,False
short,CeF4,0.8662245273590088,37.12296983758701,False
short,CoBr2,0.8924270868301392,48.95591647331787,False
short,CoBr,0.6743028163909912,1.3921113689095126,False
short,CoCl2,0.8916162848472595,48.49187935034803,False
short,CoF2,0.882510781288147,44.31554524361949,False
short,CoF3,0.914528489112854,57.772621809744784,False
short,CoI2,0.8915654420852661,48.25986078886311,False
short,Cr2F5,0.9343419075012207,73.08584686774941,False
short,CrBr2,0.9306119680404663,68.90951276102089,False
short,CrBr3,0.9200952053070068,62.18097447795824,False
short,CrCl2,0.9368197917938232,75.1740139211137,False
short,CrCl3,0.9666962623596191,93.50348027842227,False
short,CrF2,0.914213240146637,57.540603248259856,False
short,CrF3,0.9052229523658752,53.1322505800464,False
short,CrF4,0.9783328771591187,96.51972157772622,False
short,CrF5,0.9677290916442871,94.43155452436194,False
short,CrI2,0.9425102472305298,79.58236658932715,False
short,CsBr3,0.9456682801246643,81.20649651972158,False
short,CsBr,0.6950038075447083,4.872389791183294,False
short,CsCl,0.6950037479400635,3.480278422273782,False
short,CsF,0.6950037479400635,3.480278422273782,False
short,CsI3,0.9435357451438904,80.51044083526682,False
short,CsI4,0.9355791807174683,74.0139211136891,False
short,CsI,0.7145286798477173,7.888631090487238,False
short,CuBr2,0.9555458426475525,87.70301624129931,False
short,CuBr,0.784555971622467,13.45707656612529,False
short,CuCl2,0.9441434144973755,80.74245939675174,False
short,CuCl,0.7867141366004944,14.385150812064964,False
short,CuF2,0.9102897644042969,55.4524361948956,False
short,CuF,0.7846079468727112,13.68909512761021,False
short,CuI,0.8312441110610962,25.05800464037123,False
short,Dy5Cl11,0.8761804699897766,41.76334106728538,False
short,DyBr2,0.8476399183273315,28.770301624129928,False
short,DyCl3,0.8557501435279846,33.17865429234338,False
short,Er4I5,0.7336317896842957,10.672853828306264,False
short,Er6I7,0.7653542757034302,12.296983758700696,False
short,ErF3,0.8211901783943176,17.633410672853827,False
short,EuBr2,0.8300480842590332,23.4338747099768,False
short,EuCl2,0.8220434188842773,18.097447795823665,False
short,EuCl3,0.8319058418273926,25.290023201856147,False
short,EuF2,0.8224852085113525,19.25754060324826,False
short,EuF3,0.8304980397224426,24.129930394431554,False
short,EuI2,0.8516825437545776,30.62645011600928,False
short,FeBr2,0.8911725282669067,47.79582366589327,False
short,FeBr3,0.9173234701156616,59.86078886310905,False
short,FeCl2,0.8899093866348267,47.33178654292343,False
short,FeCl3,0.9472475051879883,81.90255220417633,True
short,FeF2,0.8984025716781616,51.508120649651964,False
short,FeF3,0.9272302389144897,67.05336426914154,False
short,FeI2,0.8876651525497437,45.93967517401392,False
short,Ga2I3,0.9176481366157532,60.092807424593964,False
short,Ga3Cl7,0.9901580810546875,99.30394431554525,False
short,GaBr2,0.9736253023147583,95.59164733178655,False
short,GaBr3,0.9926853179931641,99.76798143851508,False
short,GaCl2,0.9664715528488159,93.27146171693735,False
short,GaCl3,1.0,100.0,True
short,GaF3,0.9081869721412659,54.060324825986086,True
short,GaI2,0.9786688685417175,96.75174013921114,False
short,GaI3,0.991146981716156,99.53596287703016,False
short,Gd2Br3,0.809433102607727,15.54524361948956,False
short,Gd2Cl3,0.8133760690689087,16.009280742459396,False
short,GdBr3,0.9092621803283691,54.524361948955914,False
short,GdBr,0.6863878965377808,2.088167053364269,False
short,GdCl3,0.8352731466293335,26.218097447795824,False
short,HfCl4,0.9615992903709412,90.95127610208816,False
short,HfF4,0.8663762211799622,37.35498839907193,False
short,HfI3,0.9118185043334961,55.91647331786543,False
short,HfI4,0.9702636003494263,94.89559164733178,False
short,HgBr2,0.9580504298210144,88.8631090487239,False
short,HgBr,0.7268037796020508,9.51276102088167,False
short,HgCl2,0.9475751519203186,82.36658932714617,False
short,HgCl,0.7327587008476257,10.440835266821345,False
short,HgF2,0.8224852085113525,19.25754060324826,False
short,HgF,0.7286913394927979,9.976798143851507,False
short,HgI2,0.958832859992981,89.32714617169374,False
short,HgI,0.7176513671875,8.584686774941995,False
short,HoF3,0.8209306597709656,17.40139211136891,False
short,In2Cl3,0.8980257511138916,51.27610208816705,False
short,In4Br7,0.9164408445358276,58.46867749419954,False
short,In5Br7,0.9122864007949829,56.148491879350345,False
short,In5Cl9,0.8995173573493958,51.74013921113689,False
short,In7Br9,0.7857670783996582,14.153132250580047,False
short,In7Cl9,0.7877974510192871,14.617169373549885,False
short,InBr2,0.9545336365699768,87.47099767981439,False
short,InBr3,0.9108453989028931,55.68445475638051,True
short,InBr,0.7271804809570312,9.744779582366588,False
short,InCl,0.7386900186538696,10.904872389791183,False
short,InF3,0.8963291645050049,50.580046403712295,False
short,InI2,0.9499370455741882,84.22273781902551,False
short,InI3,0.977380633354187,96.2877030162413,True
short,InI,0.7147213220596313,8.120649651972158,False
short,IrBr3,0.9215415120124817,63.10904872389791,False
short,IrCl3,0.9224710464477539,64.50116009280742,False
short,IrF3,0.8790230751037598,42.69141531322506,False
short,IrF4,0.9309407472610474,70.30162412993039,False
short,IrF6,0.9269803762435913,66.8213457076566,False
short,KBr,0.6950037479400635,3.480278422273782,False
short,KCl,0.6950037479400635,3.480278422273782,False
short,KF3,0.9378707408905029,76.33410672853829,False
short,KF5,0.9199590086936951,61.94895591647332,False
short,KF,0.6950039267539978,6.496519721577726,False
short,KI,0.695003867149353,6.0324825986078885,False
short,La2Br5,0.8521881103515625,31.322505800464036,False
short,La2I5,0.8618489503860474,35.03480278422274,False
short,LaBr2,0.8606524467468262,34.5707656612529,False
short,LaBr3,0.8301407098770142,23.897911832946637,False
short,LaBr,0.7116308212280273,7.424593967517401,False
short,LaCl3,0.8284766674041748,22.041763341067284,False
short,LaCl,0.7551513910293579,11.600928074245939,False
short,LaF3,0.8271880149841309,20.88167053364269,False
short,LaI2,0.8070708513259888,15.31322505800464,False
short,LaI3,0.8498947024345398,29.23433874709977,False
short,LaI,0.6621466875076294,1.160092807424594,False
short,LiBr,0.695003867149353,6.0324825986078885,False
short,LiCl,0.6950038075447083,4.872389791183294,False
short,LiF,0.6950038075447083,4.872389791183294,False
short,LiI,0.7914203405380249,15.081206496519723,False
short,MgBr2,0.8806455731391907,43.619489559164734,False
short,MgCl2,0.8884721994400024,46.8677494199536,False
short,MgF2,0.8754239082336426,41.29930394431555,False
short,MgI2,0.8803159594535828,43.38747099767982,False
short,MnBr2,0.8868370056152344,45.47563805104408,False
short,MnCl2,0.8857616186141968,45.011600928074245,False
short,MnF2,0.879810094833374,43.1554524361949,False
short,MnF3,0.9603316783905029,90.25522041763341,False
short,MnF4,0.9637063145637512,91.87935034802784,False
short,MnI2,0.8837604522705078,44.5475638051044,False
short,MoBr2,0.9140838384628296,57.30858468677494,False
short,MoCl2,0.9177982807159424,60.556844547563806,False
short,MoCl3,0.9303820133209229,68.67749419953596,False
short,MoCl4,0.9660449028015137,93.03944315545245,False
short,MoCl5,0.9515334963798523,85.38283062645012,False
short,MoF3,0.9308048486709595,69.60556844547564,False
short,MoF5,0.9481386542320251,82.5986078886311,False
short,MoF6,0.9674582481384277,93.96751740139212,False
short,MoI2,0.9133217334747314,57.076566125290014,False
short,NaBr,0.6950038075447083,4.872389791183294,False
short,NaCl3,0.8285838961601257,22.2737819025522,False
short,NaCl,0.695003867149353,6.0324825986078885,False
short,NaF,0.6950041055679321,6.728538283062645,False
short,NaI,0.7525083422660828,11.36890951276102,False
short,Nb2F5,0.8715193271636963,40.13921113689095,False
short,Nb3Br8,0.922392725944519,64.03712296983758,False
short,Nb3Cl7,0.9052313566207886,53.36426914153132,False
short,Nb3Cl8,0.9192906618118286,61.48491879350348,False
short,Nb3I8,0.9222950339317322,63.80510440835266,False
short,Nb6I11,0.9050434231758118,52.90023201856149,False
short,NbBr4,0.9417144060134888,79.11832946635731,False
short,NbBr5,0.9427236914634705,79.81438515081206,False
short,NbCl4,0.9492365121841431,83.75870069605568,False
short,NbCl5,0.9517116546630859,85.61484918793504,False
short,NbF3,0.9308044910430908,69.37354988399072,False
short,NbF4,0.9514268040657043,85.1508120649652,False
short,NbF5,0.937110424041748,75.87006960556845,False
short,NbI3,0.9197092652320862,61.7169373549884,False
short,NbI4,0.9311624765396118,70.99767981438515,False
short,NbI5,0.9355116486549377,73.54988399071925,False
short,Nd4Br9,0.8514482975006104,29.930394431554525,False
short,NdBr3,0.8484134674072266,29.00232018561485,False
short,NdCl2,0.8419137001037598,26.91415313225058,False
short,NdCl3,0.8300580978393555,23.665893271461716,False
short,NdF3,0.8425636291503906,27.37819025522042,False
short,NdI2,0.8104259967803955,15.777262180974477,False
short,NiBr2,0.8972800970077515,51.04408352668214,False
short,NiCl2,0.8938978314399719,49.88399071925754,False
short,NiF2,0.8752493858337402,40.835266821345705,False
short,NiF3,0.9218056201934814,63.341067285382834,False
short,NiI2,0.8956331014633179,50.34802784222738,False
short,NpBr3,0.8516510725021362,30.39443155452436,False
short,NpCl3,0.8283624053001404,21.809744779582367,False
short,NpF3,0.8272252082824707,21.11368909512761,False
short,NpF4,0.8665546178817749,37.81902552204176,False
short,NpI3,0.8534888625144958,32.01856148491879,False
short,OsBr4,0.9470514059066772,81.90255220417633,False
short,OsCl4,0.9500748515129089,84.45475638051045,False
short,OsF5,0.9357067942619324,74.24593967517401,False
short,OsF6,0.9279721975326538,67.28538283062645,False
short,PaBr4,0.8630072474479675,35.730858468677496,False
short,PaBr5,0.9299269914627075,67.98143851508121,False
short,PaCl4,0.8620124459266663,35.266821345707655,False
short,PaCl5,0.9308082461357117,69.83758700696056,False
short,PbBr2,0.8576384782791138,34.106728538283065,False
short,PbCl2,0.8461326360702515,28.306264501160094,False
short,PbCl4,0.9521065950393677,86.07888631090486,False
short,PbF2,0.8344821929931641,25.986078886310903,False
short,PbF4,0.9211626052856445,62.87703016241299,False
short,PbI2,0.8645575642585754,35.96287703016242,False
short,PdBr2,0.9415627717971802,78.88631090487239,False
short,PdCl2,0.9658642411231995,92.80742459396751,False
short,PdF2,0.8753514289855957,41.067285382830626,False
short,PdF3,0.9394998550415039,77.9582366589327,False
short,PdF4,0.9329860210418701,72.15777262180974,False
short,PdI2,0.9512009024620056,84.91879350348029,False
short,Pr2Br5,0.8515030145645142,30.162412993039446,False
short,Pr2I5,0.8673458695411682,38.05104408352668,False
short,PrBr3,0.8312000036239624,24.825986078886313,False
short,PrCl3,0.8290958404541016,22.96983758700696,False
short,PrF3,0.8134077787399292,16.241299303944317,False
short,PrI2,0.85187828540802,31.09048723897912,False
short,Pt3I8,0.9562928676605225,87.93503480278422,False
short,PtBr3,0.939441442489624,77.7262180974478,False
short,PtCl2,0.9483945369720459,83.06264501160094,False
short,PtCl3,0.9431713819503784,80.2784222737819,False
short,PtCl4,0.9848325848579407,98.60788863109049,False
short,PtF4,0.9250805377960205,66.12529002320186,False
short,PtF5,0.9228387475013733,65.19721577726219,False
short,PtF6,0.9123039245605469,56.380510440835266,False
short,PtI2,0.9485969543457031,83.29466357308584,False
short,PtI3,0.9424512386322021,79.35034802784223,False
short,PtI4,0.9316495656967163,71.46171693735499,False
short,PuBr3,0.8512164354324341,29.466357308584683,False
short,PuCl3,0.828271746635437,21.57772621809745,False
short,PuF3,0.8286807537078857,22.505800464037122,False
short,PuI3,0.8534613847732544,31.786542923433874,False
short,RbBr,0.695003867149353,6.0324825986078885,False
short,RbCl,0.695003867149353,6.0324825986078885,False
short,RbF,0.6548482179641724,0.9280742459396751,False
short,RbI3,0.9338459372520447,72.62180974477958,False
short,RbI,0.6950039267539978,6.496519721577726,False
short,ReCl3,0.9596501588821411,90.02320185614849,False
short,ReCl4,0.9758310914039612,96.2877030162413,False
short,ReCl5,0.9639081358909607,92.34338747099768,False
short,ReCl6,0.9232040643692017,65.4292343387471,False
short,ReF7,0.9127514362335205,56.8445475638051,False
short,ReI3,0.9624069333076477,91.64733178654292,False
short,RhBr3,0.9209286570549011,62.64501160092807,False
short,RhCl3,0.9225240349769592,64.73317865429235,False
short,RhF3,0.9165841341018677,58.70069605568445,False
short,RhF5,0.9366976022720337,74.94199535962876,False
short,RuBr3,0.924497127532959,65.89327146171694,False
short,RuCl3,0.9371057152748108,75.63805104408353,False
short,RuF3,0.8941370248794556,50.11600928074246,False
short,RuF4,0.9399726390838623,78.19025522041764,False
short,RuF5,0.9403453469276428,78.42227378190255,False
short,Sc5Cl8,0.8841679096221924,44.779582366589324,False
short,Sc7Cl10,0.887689471244812,46.17169373549884,False
short,Sc7Cl12,0.8563417196273804,33.4106728538283,False
short,ScCl3,0.9170036315917969,59.164733178654295,False
