config,lopo_mean_pct,lopo_median_pct,lopo_min_pct,lopo_top20_count,lopo_top10_count
baseline,64.00397746105402,60.092807424593964,40.37122969837587,1,1
short,65.69439840901558,55.68445475638051,44.5475638051044,3,0
