formula,multiproto_median_pct,multiproto_min_pct,multiproto_max_pct,configs_top20,configs_top10,reserved_formula
GdBr3,99.88399071925754,99.76798143851508,100.0,2,2,False
YCl3,99.53596287703016,99.30394431554525,99.76798143851508,2,2,False
RhBr3,98.83990719257541,98.37587006960557,99.30394431554525,2,2,False
IrBr3,98.49187935034803,97.91183294663574,99.07192575406032,2,2,False
IrCl3,98.14385150812066,97.4477958236659,98.83990719257541,2,2,False
YI3,97.91183294663573,97.6798143851508,98.14385150812065,2,2,False
FeBr3,97.56380510440835,97.21577726218096,97.91183294663574,2,2,False
RhCl3,97.56380510440835,96.51972157772622,98.60788863109049,2,2,False
ScCl3,97.33178654292342,96.98375870069606,97.6798143851508,2,2,False
CrBr3,96.63573085846868,96.2877030162413,96.98375870069606,2,2,False
VCl3,96.63573085846868,96.05568445475639,97.21577726218096,2,2,False
RuCl3,95.93967517401393,95.59164733178655,96.2877030162413,2,2,False
CrCl3,95.93967517401393,95.1276102088167,96.75174013921114,2,2,False
ZrCl3,95.35962877030163,94.19953596287704,96.51972157772622,2,2,False
TiCl3,95.35962877030161,95.35962877030161,95.35962877030161,2,2,False
ZrBr3,94.8955916473318,93.7354988399072,96.05568445475639,2,2,False
CrF3,93.96751740139212,93.96751740139212,93.96751740139212,2,2,False
CoF3,93.96751740139212,93.03944315545245,94.89559164733178,2,2,False
HfI3,93.85150812064965,92.5754060324826,95.1276102088167,2,2,False
TcCl3,93.85150812064964,92.80742459396751,94.89559164733178,2,2,False
TbCl3,93.85150812064964,91.87935034802784,95.82366589327145,2,2,False
BiI3,93.61948955916472,92.80742459396751,94.43155452436194,2,2,False
InF3,93.50348027842227,92.34338747099768,94.66357308584686,2,2,False
RhF3,93.50348027842227,92.34338747099768,94.66357308584686,2,2,False
MoF3,93.1554524361949,92.11136890951276,94.19953596287704,2,2,False
FeF3,93.03944315545243,92.5754060324826,93.50348027842227,2,2,False
NbI3,92.34338747099767,91.415313225058,93.27146171693735,2,2,False
TcCl4,91.9953596287703,90.25522041763341,93.7354988399072,2,2,False
RuF3,91.87935034802786,90.71925754060325,93.03944315545245,2,2,False
MoCl3,91.53132250580046,91.415313225058,91.64733178654292,2,2,False
VF3,91.29930394431554,90.95127610208816,91.64733178654292,2,2,False
MoCl4,90.48723897911833,90.02320185614849,90.95127610208816,2,2,False
NbCl5,94.19953596287704,88.39907192575406,100.0,2,1,False
HfCl4,94.08352668213456,88.63109048723898,99.53596287703016,2,1,False
HfI4,93.50348027842227,89.55916473317865,97.4477958236659,2,1,False
MoCl5,93.38747099767981,88.16705336426914,98.60788863109049,2,1,False
WBr5,92.92343387470999,87.00696055684455,98.83990719257541,2,1,False
WCl5,92.69141531322506,86.3109048723898,99.07192575406032,2,1,False
TiI4,92.22737819025522,86.07888631090486,98.37587006960557,2,1,False
TaBr5,92.11136890951276,87.47099767981439,96.75174013921114,2,1,False
ZrI4,91.41531322505801,87.23897911832947,95.59164733178655,2,1,False
VCl5,91.415313225058,83.29466357308584,99.53596287703016,2,1,False
NbBr5,90.8352668213457,87.23897911832947,94.43155452436194,2,1,False
NiF3,90.48723897911833,89.0951276102088,91.87935034802784,2,1,False
TcBr4,90.02320185614849,86.5429234338747,93.50348027842227,2,1,False
Nb3Cl8,89.90719257540604,88.63109048723898,91.1832946635731,2,1,False
TmCl3,89.90719257540604,87.70301624129931,92.11136890951276,2,1,False
Nb3I8,89.79118329466357,89.32714617169374,90.25522041763341,2,1,False
MoF5,89.67517401392112,81.20649651972158,98.14385150812065,2,1,False
RuBr3,89.55916473317865,87.93503480278422,91.1832946635731,2,1,False
