config,origin_formula,origin_material_id,origin_site,origin_center_posthoc,commonality_min,commonality_mean,structure_background_prev95,formula_background_prev95,posthoc_best_m,posthoc_psi6
short,GaCl3,mp-30952,3,X,0.8826266527175903,0.9270308415095011,0.10829817158931083,0.15777262180974477,6,0.9899786907179952
baseline,GaCl3,mp-30952,6,X,0.9135806560516357,0.9354149103164673,0.1209563994374121,0.16937354988399073,8,0.3999453611127494
medium,GaCl3,mp-30952,4,X,0.943669855594635,0.9550208747386932,0.26441631504922647,0.3503480278422274,7,0.3014507630789341
wide,ZrCl4,mp-569175,0,M,0.9882609248161316,0.9917112588882446,0.6075949367088608,0.7563805104408353,4,0.2538937390664707
radial_rich,GaCl3,mp-30952,4,X,0.9359530210494995,0.9473611215750376,0.1828410689170183,0.2552204176334107,7,0.3014507630789341
angular_rich,GaCl3,mp-30952,6,X,0.9096679091453552,0.9321329196294149,0.10407876230661041,0.15081206496519722,8,0.3999453611127494
