config,r_cut,n_max,l_max,sigma,origin_formula,origin_material_id,origin_site,origin_center,commonality_min,commonality_mean,background_prev95,background_prev98,discovery_score,posthoc_best_m,posthoc_psi6,posthoc_planarity,posthoc_radial_cv,InI3_pct,AlBr3_pct,ZnCl2_pct,SnCl2_pct
short,2.8,4,4,0.25,GaCl3,mp-30952,3,X,0.8826266527175903,0.9270308415095011,0.10829817158931083,0.01969057665260197,0.7870398000322816,6,0.989978690717995,0.17959115075815182,0.03817722421086151,97.32770745428974,100.0,91.56118143459916,63.150492264416314
baseline,3.2,6,6,0.3,GaCl3,mp-30952,6,X,0.9135806560516357,0.9354149103164673,0.1209563994374121,0.015471167369901548,0.8030772292999611,8,0.3999453611127498,0.14435697920819307,0.018490943128540098,96.48382559774966,100.0,94.51476793248945,72.29254571026723
medium,3.6,6,6,0.3,GaCl3,mp-30952,4,X,0.943669855594635,0.9550208747386932,0.26441631504922647,0.01969057665260197,0.694148149755266,7,0.30145076307893404,0.1477486373354335,0.02144525710808335,98.17158931082982,100.0,86.77918424753868,53.30520393811533
wide,4.0,6,6,0.35,ZrCl4,mp-569175,0,M,0.9882609248161316,0.9917112588882446,0.6075949367088608,0.3628691983122363,0.3877985907506339,4,0.25389373906647006,0.32195577232524436,0.05858626775485916,71.58931082981715,73.55836849507736,43.319268635724335,56.540084388185655
radial_rich,3.2,8,6,0.3,GaCl3,mp-30952,4,X,0.9359530210494995,0.9473611215750376,0.1828410689170183,0.014064697609001406,0.7648223702246965,7,0.30145076307893404,0.1477486373354335,0.02144525710808335,98.45288326300985,100.0,90.43600562587905,54.57102672292545
angular_rich,3.2,6,8,0.3,GaCl3,mp-30952,6,X,0.9096679091453552,0.9321329196294149,0.10407876230661041,0.011251758087201125,0.8149907990514645,8,0.3999453611127498,0.14435697920819307,0.018490943128540098,96.20253164556962,100.0,94.23347398030943,72.15189873417721
