config,k,lopo_mean_pct,lopo_median_pct,lopo_min_pct,lopo_top20_count,lopo_top10_count,train_min_coverage_mean,train_mean_coverage_mean
baseline,1,63.9376864434869,68.90951276102089,17.16937354988399,1,0,0.9686922771590096,0.9881024190357753
baseline,2,76.33410672853827,79.81438515081206,49.187935034802784,3,2,0.9872583661760602,0.9959419625146049
baseline,3,77.26218097447796,81.20649651972158,49.187935034802784,4,3,0.9942256723131452,0.9981374910899571
baseline,4,80.31156778256546,81.20649651972158,49.187935034802784,5,2,0.996925413608551,0.9992408496992928
short,1,69.4729864103414,74.70997679814386,16.70533642691415,3,1,0.9591503483908517,0.9852620107786996
short,2,68.04772953264833,74.24593967517401,20.417633410672853,2,1,0.9771070395197187,0.992590171950204
short,3,69.17467683128936,75.1740139211137,20.185614849187935,2,0,0.9930301053183419,0.9976400136947632
short,4,68.8100762346702,74.0139211136891,20.185614849187935,1,0,0.9947807448250907,0.9988016997064862
