motif_rank,origin_formula,origin_material_id,origin_site,origin_center_posthoc,commonality_min,commonality_mean,formula_background_prev95,posthoc_best_m,posthoc_best_psi,posthoc_psi6,posthoc_planarity
1,GaCl3,mp-30952,6,X,0.9135806560516357,0.9354149103164673,0.16937354988399073,8,0.7656263520876815,0.3999453611127494,0.14435697920819313
2,GaCl3,mp-30952,2,X,0.9196354746818542,0.9402984778086344,0.19721577726218098,6,0.9899893118849047,0.9899893118849047,0.17959330727290335
3,GaCl3,mp-30952,4,X,0.9218975901603699,0.942643423875173,0.20649651972157773,7,0.7896797138773838,0.3014507630789341,0.14774863733543342
4,TaCl5,mp-29831,32,X,0.9513223171234131,0.9739550848801931,0.5359628770301624,6,0.6161185185081544,0.6161185185081544,0.3159736416150772
5,ZrCl4,mp-569175,0,M,0.9719799160957336,0.9843425452709198,0.580046403712297,4,0.7613757644761275,0.2538937390664707,0.32195577232524425
6,ZrCl4,mp-569175,2,X,0.9664589166641235,0.9828285674254099,0.7447795823665894,6,0.8034117503918913,0.8034117503918913,0.18633723093774993
7,InBr3,mp-570219,0,M,0.9619417190551758,0.9806648194789886,0.7819025522041764,6,0.9536198567318949,0.9536198567318949,0.32945170117509753
8,GaF3,mp-588,3,X,0.9297981858253479,0.9808747073014578,0.7865429234338747,5,0.7840886948135758,0.2513221818084597,0.17661665107375416
