material_id,formula,n_X,h,k,l,frac_exact6,mean_inplane_count,median_inplane_count,mean_psi6_exact6,mean_psi4_exact6,psi6_minus_psi4,psi6_over_psi4,strict_exact6_all,fallback_sixfold
mp-23306,CuI,2,1,1,1,1.0,6.0,6.0,0.9999999999999786,9.72838243576427e-08,0.9999999027161542,10279201.158084588,True,True
mp-569346,CuI,2,0,0,1,1.0,6.0,6.0,0.9999999999999857,8.00087019752944e-08,0.9999999199912837,12498640.464243153,True,True
mp-570136,CuI,6,0,0,1,1.0,6.0,6.0,0.9999999999999868,7.656012491084991e-08,0.9999999234398619,13061629.682088844,True,True
mp-669497,Dy5Cl11,44,1,1,1,0.0,1.2727272727272727,1.0,0.0,0.0,0.0,0.0,False,False
mp-30025,DyBr2,16,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False
mp-28448,DyCl3,6,0,1,-3,0.3333333333333333,4.666666666666667,5.0,0.9502207264382949,0.0839577937971538,0.8662629326411411,11.317838207303009,False,True
mp-541637,Er4I5,5,2,2,-3,0.6,5.2,6.0,0.992078568308008,0.06045625891205058,0.9316223093959575,16.409857079500163,False,True
mp-571258,Er6I7,7,3,3,-1,0.7142857142857143,5.428571428571429,6.0,0.9949885181401289,0.03348973790940604,0.9614987802307229,29.710250967974073,False,True
mp-9371,ErF3,12,0,0,1,1.0,6.0,6.0,0.5113068826970675,0.05886805318610256,0.4524388295109649,8.685642806645008,True,False
mp-23311,EuBr2,20,1,1,1,0.0,0.8,0.5,0.0,0.0,0.0,0.0,False,False
mp-22887,EuCl2,8,1,1,1,0.0,1.75,2.0,0.0,0.0,0.0,0.0,False,False
mp-569895,EuCl3,6,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-504731,EuF2,2,0,0,1,1.0,6.0,6.0,0.999999999999906,2.043406528066284e-07,0.9999997956592531,4893788.809347819,True,True
mp-19908,EuF3,12,0,0,1,1.0,6.0,6.0,0.7454443202994688,0.02184604378469486,0.7235982765147739,34.12262319192642,True,True
mp-1102093,EuI2,8,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False
mp-23305,EuI2,8,1,1,1,0.0,0.75,1.0,0.0,0.0,0.0,0.0,False,False
mp-570799,EuI2,16,1,1,1,0.0,1.25,1.5,0.0,0.0,0.0,0.0,False,False
mp-22880,FeBr2,2,0,0,1,1.0,6.0,6.0,0.9991543737360541,0.019565123047353278,0.9795892506887008,51.06813646496423,True,True
mp-23232,FeBr3,6,1,1,1,1.0,6.0,6.0,0.9509818147314067,0.0789199913400876,0.8720618233913191,12.049948290457467,True,True
mp-23229,FeCl2,2,1,1,1,1.0,6.0,6.0,0.9999999999999023,2.0841429109466837e-07,0.9999997915856113,4798135.457734377,True,True
mp-571096,FeCl2,2,0,0,1,1.0,6.0,6.0,0.9993510817429444,0.016842328995349345,0.9825087527475951,59.33568225741786,True,True
mp-23204,FeCl3,6,0,0,1,1.0,6.0,6.0,0.858026969726485,0.13989575503353138,0.7181312146929536,6.133330990070613,True,True
mp-556911,FeF2,4,1,0,-3,1.0,6.0,6.0,0.3947725650156859,0.13641590510737464,0.25835665990831125,2.8938895703177394,True,False
mp-22398,FeF3,6,2,1,-1,1.0,6.0,6.0,0.838994628647603,0.14987415065547885,0.6891204779921242,5.597994217002974,True,True
mp-559450,FeF3,12,1,1,1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,False,False
mp-571122,FeI2,2,0,0,1,1.0,6.0,6.0,0.9999999999996383,4.0092133813719144e-07,0.9999995990783002,2494254.869660861,True,True
mp-636675,Ga2I3,12,1,1,1,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,False,False
mp-616204,Ga3Cl7,28,1,1,1,0.0,2.142857142857143,2.0,0.0,0.0,0.0,0.0,False,False
mp-28384,GaBr2,16,1,1,1,0.0,1.125,1.0,0.0,0.0,0.0,0.0,False,False
mp-650841,GaBr2,24,1,1,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,False
mp-30953,GaBr3,12,1,-1,-2,1.0,6.0,6.0,0.9830131231900688,0.03300282239794789,0.9500103007921209,29.78572896999235,True,True
mp-568848,GaCl2,16,1,1,1,0.0,1.125,1.0,0.0,0.0,0.0,0.0,False,False
mp-30952,GaCl3,6,1,1,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,False
mp-588,GaF3,6,2,1,1,0.6666666666666666,5.333333333333333,6.0,0.7995881814659628,0.08966998518485012,0.7099181962811126,8.91701029968559,False,True
mp-570738,GaI2,24,1,1,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,False
mp-30954,GaI3,12,1,1,2,1.0,6.0,6.0,0.9853601147503932,0.028286589242164397,0.9570735255082288,34.834886112094466,True,True
mp-618813,Gd2Br3,6,1,1,1,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,False,False
mp-1078829,Gd2Cl3,6,1,1,1,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,False,False
mp-27182,GdBr3,6,1,1,-2,1.0,6.0,6.0,0.9735939815277407,0.05011007485762548,0.9234839066701152,19.42910650790186,True,True
mp-1064427,GdBr,2,0,0,1,1.0,6.0,6.0,0.9999999999999983,2.7206990216313825e-08,0.9999999727930081,36755260.028739944,True,True
mp-23265,GdCl3,6,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-29422,HfCl4,8,1,-1,-2,1.0,6.0,6.0,0.9583457562186501,0.04717711268258225,0.9111686435360679,20.313785683888845,True,True
mp-31033,HfF4,24,2,-1,-1,0.6666666666666666,4.5,6.0,0.31624979592062813,0.39028821556291016,-0.07403841964228203,0.8102980907699279,False,False
mp-568002,HfI3,6,0,0,1,1.0,6.0,6.0,0.9700907118710514,0.05414145957027297,0.9159492523007785,17.91770520356809,True,True
mp-567273,HfI4,32,1,1,1,1.0,6.0,6.0,0.9948386686760109,0.01674380901504411,0.9780948596609668,59.415313909885164,True,True
mp-569059,HfI4,16,2,0,1,1.0,6.0,6.0,0.9607556270719702,0.05492359377389783,0.9058320332980723,17.492584899434686,True,True
mp-23292,HgBr2,4,0,0,1,1.0,6.0,6.0,0.9237490178559954,0.1655675542335361,0.7581814636224593,5.579287693970706,True,True
