formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,top20_mean_count,top10_mean_count
AlBr3,26.160337552742618,20.956399437412095,88.88888888888889,84.52883263009845,0,0
InI3,74.75386779184248,69.19831223628692,60.68917018284107,30.09845288326301,0,0
SnCl2,34.036568213783404,33.19268635724332,31.153305203938118,27.566807313642755,0,0
ZnCl2,28.621659634317865,22.081575246132207,19.760900140646974,19.12798874824191,0,0
