material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-1795,NbF3_mp-1795.cif,NbF3,4,2.097514,0.9330608248710632,74.26160337552743,False
mp-8338,TaF3_mp-8338.cif,TaF3,4,2.083323,0.9330608248710632,74.26160337552743,False
mp-18687,NbF5_mp-18687.cif,NbF5,24,1.8698733853443614,0.9329534769058228,73.9803094233474,False
mp-27871,RhBr3_mp-27871.cif,RhBr3,8,2.4922542439260824,0.9328259229660034,73.83966244725738,False
mp-1080428,NbBr4_mp-1080428.cif,NbBr4,10,2.4786956015616735,0.9328186511993408,73.69901547116737,False
mp-655360,UI4_mp-655360.cif,UI4,10,2.8810681199995747,0.9321509003639221,73.55836849507736,False
mp-28112,In5Cl9_mp-28112.cif,In5Cl9,28,2.433475958059975,0.9318826198577881,73.27707454289732,False
mp-29862,SnBr2_mp-29862.cif,SnBr2,12,2.7565674297212475,0.9317581653594971,73.13642756680731,False
mp-1229,CuF2_mp-1229.cif,CuF2,6,1.9064600277614812,0.9316931962966919,72.9957805907173,False
mp-22892,RuBr3_mp-22892.cif,RuBr3,8,2.5013351165341375,0.931481122970581,72.85513361462729,False
mp-614777,NiF3_mp-614777.cif,NiF3,8,1.8089907711012145,0.9310709834098816,72.57383966244726,False
mp-636675,Ga2I3_mp-636675.cif,Ga2I3,20,2.6139793146601127,0.9309746623039246,72.43319268635724,False
mp-29179,SnCl2_mp-29179.cif,SnCl2,24,2.6078708302164753,0.9305614233016968,72.29254571026723,True
mp-540622,RhF5_mp-540622.cif,RhF5,48,1.8296073015317709,0.9305263757705688,72.29254571026723,False
mp-569578,NbI5_mp-569578.cif,NbI5,12,2.6898090319502272,0.929912805557251,71.72995780590718,False
mp-559931,VF3_mp-559931.cif,VF3,8,1.9196838628362949,0.9298202395439148,71.58931082981715,False
mp-1196526,Nb6I11_mp-1196526.cif,Nb6I11,68,2.8731493763880813,0.9293707609176636,71.44866385372714,False
mp-1192044,ZrCl3_mp-1192044.cif,ZrCl3,24,2.536196100712342,0.9291518926620483,71.30801687763713,False
mp-570722,NbI3_mp-570722.cif,NbI3,8,2.829482626626573,0.9289603233337402,71.0267229254571,False
mp-1078239,WBr4_mp-1078239.cif,WBr4,10,2.458811701264619,0.9288497567176819,70.88607594936708,False
mp-27734,CrBr3_mp-27734.cif,CrBr3,24,2.511848222140812,0.9288336634635925,70.74542897327707,False
mp-27182,GdBr3_mp-27182.cif,GdBr3,8,2.8358795554866756,0.9287912249565125,70.60478199718706,False
mp-540830,OsF5_mp-540830.cif,OsF5,48,1.8577912500537006,0.9285401701927185,70.46413502109705,False
mp-13868,PdF4_mp-13868.cif,PdF4,10,1.8511753967753726,0.9279513359069824,70.32348804500702,False
mp-570679,TaI5_mp-570679.cif,TaI5,48,2.6836566764981447,0.9279412627220154,70.18284106891703,False
mp-28117,VCl3_mp-28117.cif,VCl3,8,2.3861701528494157,0.9278726577758789,70.042194092827,False
mp-570219,InBr3_mp-570219.cif,InBr3,8,2.6981755616531586,0.9278712272644043,69.90154711673699,True
mp-559473,CoF3_mp-559473.cif,CoF3,8,1.8477428442812616,0.9278144240379333,69.90154711673699,False
mp-22908,BiCl3_mp-22908.cif,BiCl3,16,2.5512587862864913,0.9275529980659485,69.62025316455697,False
mp-27436,PaCl5_mp-27436.cif,PaCl5,12,2.492037605587087,0.9274743795394897,69.47960618846695,False
mp-23232,FeBr3_mp-23232.cif,FeBr3,8,2.5464610008268185,0.9274578094482422,69.33895921237693,False
mp-727311,SrF3_mp-727311.cif,SrF3,8,2.199755382349526,0.9273704886436462,69.19831223628692,False
mp-27642,PaBr5_mp-27642.cif,PaBr5,24,2.650285451886544,0.9271734356880188,69.05766526019691,False
mp-23309,ScCl3_mp-23309.cif,ScCl3,8,2.4969891294725937,0.9271600246429443,68.91701828410689,False
mp-22854,Pr2I5_mp-22854.cif,Pr2I5,14,3.232514546494402,0.9267478585243225,68.77637130801688,False
mp-27880,Nb3Cl7_mp-27880.cif,Nb3Cl7,40,2.448866812812234,0.9266849756240845,68.63572433192687,False
mp-22070,CeF3_mp-22070.cif,CeF3,24,2.3700532199406243,0.9264277815818787,68.35443037974683,False
mp-1191157,NdF3_mp-1191157.cif,NdF3,24,2.360723343711779,0.9262503981590271,68.21378340365682,False
mp-13841,IrF4_mp-13841.cif,IrF4,10,1.8733358360310008,0.9258707165718079,68.07313642756681,False
mp-22398,FeF3_mp-22398.cif,FeF3,8,1.9366717655300196,0.9257711172103882,67.9324894514768,False
mp-570044,NbI4_mp-570044.cif,NbI4,20,2.7195407344710514,0.9256324172019958,67.79184247538677,False
mp-568002,HfI3_mp-568002.cif,HfI3,8,2.886658420955154,0.9253360033035278,67.65119549929676,False
mp-588,GaF3_mp-588.cif,GaF3,8,1.895784811286287,0.9245362877845764,67.51054852320675,True
mp-30282,La2I5_mp-30282.cif,La2I5,14,3.2703041916140956,0.9244257211685181,67.51054852320675,False
mp-669497,Dy5Cl11_mp-669497.cif,Dy5Cl11,64,2.6816815711156057,0.9243801236152649,67.36990154711674,False
mp-570506,ZrI2_mp-570506.cif,ZrI2,12,2.9144667075716715,0.9243090152740479,67.22925457102671,False
mp-1080124,CdCl4_mp-1080124.cif,CdCl4,10,2.4311306710289324,0.9236413240432739,66.66666666666666,False
mp-556911,FeF2_mp-556911.cif,FeF2,6,1.9825520390100162,0.923595666885376,66.52601969057666,False
mp-2706,SnF4_mp-2706.cif,SnF4,5,1.89874973554523,0.9235144257545471,66.38537271448664,False
mp-29263,UBr5_mp-29263.cif,UBr5,12,2.6276648807648026,0.9229172468185425,66.24472573839662,False
mp-8943,PtF4_mp-8943.cif,PtF4,10,1.8865107694618306,0.9227989315986633,66.1040787623066,False
mp-560338,CrF3_mp-560338.cif,CrF3,8,1.9117752000751937,0.9226706027984619,65.9634317862166,False
mp-341,PbF4_mp-341.cif,PbF4,5,1.9810395283569326,0.9218807816505432,65.40084388185655,False
mp-557466,BiF3_mp-557466.cif,BiF3,16,2.472111226488793,0.9216936230659485,65.26019690576652,False
mp-571635,CdI2_mp-571635.cif,CdI2,36,3.037506546905121,0.9214901924133301,64.9789029535865,False
mp-23247,ZrBr3_mp-23247.cif,ZrBr3,8,2.701573518144736,0.9212217926979065,64.83825597749649,False
