material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-30930,AlI3_mp-30930.cif,AlI3,16,2.481020498262761,0.9886203408241272,100.0,False
mp-30953,GaBr3_mp-30953.cif,GaBr3,16,2.269210949455057,0.9877321124076843,99.85935302390999,False
mp-616204,Ga3Cl7_mp-616204.cif,Ga3Cl7,40,2.164708930836923,0.987721860408783,99.71870604781998,False
mp-30954,GaI3_mp-30954.cif,GaI3,16,2.495954634381871,0.9864016175270081,99.57805907172997,False
mp-1205372,VCl4_mp-1205372.cif,VCl4,20,2.138097220095718,0.9855454564094543,99.43741209563994,False
mp-30092,TiCl4_mp-30092.cif,TiCl4,20,2.176001997701436,0.9840794801712036,99.29676511954993,False
mp-27634,TiBr4_mp-27634.cif,TiBr4,20,2.325109194735554,0.982652485370636,99.15611814345992,False
mp-570974,BeCl2_mp-570974.cif,BeCl2,48,2.018762109723575,0.9815946817398071,99.01547116736991,False
mp-570738,GaI2_mp-570738.cif,GaI2,36,2.564885646479649,0.9814225435256958,98.87482419127988,False
mp-28974,TiF4_mp-28974.cif,TiF4,60,1.7601250684276613,0.980520486831665,98.73417721518987,False
mp-680506,PtCl4_mp-680506.cif,PtCl4,40,2.2687972488104173,0.9802739024162292,98.59353023909986,False
mp-650841,GaBr2_mp-650841.cif,GaBr2,36,2.3453114377275925,0.9795151948928833,98.31223628691983,False
mp-30140,BeI2_mp-30140.cif,BeI2,48,2.410660966320905,0.979053258895874,98.17158931082982,False
mp-30139,BeBr2_mp-30139.cif,BeBr2,6,2.193732985828345,0.9786692261695862,98.0309423347398,False
mp-568848,GaCl2_mp-568848.cif,GaCl2,24,2.1899644377399055,0.9762017726898193,97.74964838255977,False
mp-1193047,CrCl3_mp-1193047.cif,CrCl3,24,2.2811082417519657,0.9760244488716125,97.60900140646976,False
mp-29866,SnCl4_mp-29866.cif,SnCl4,20,2.296593738895483,0.9756870865821838,97.46835443037975,False
mp-554855,CrF4_mp-554855.cif,CrF4,40,1.7440464863852134,0.974211573600769,97.18706047819971,False
mp-27647,AuCl3_mp-27647.cif,AuCl3,16,2.2620291435497575,0.9733622074127197,96.90576652601969,False
mp-15951,BeF2_mp-15951.cif,BeF2,9,1.5496899103074118,0.9717408418655396,96.76511954992968,False
mp-23216,SnBr4_mp-23216.cif,SnBr4,20,2.4564695792173925,0.9717015624046326,96.62447257383965,False
mp-27161,ZnI2_mp-27161.cif,ZnI2,48,2.611958474963523,0.9697166085243225,96.34317862165963,False
mp-1018888,PdCl2_mp-1018888.cif,PdCl2,6,2.3308664395289806,0.9694920182228088,96.20253164556962,False
mp-27213,AuBr3_mp-27213.cif,AuBr3,32,2.423168479238674,0.969243049621582,96.0618846694796,False
mp-23173,HgI2_mp-23173.cif,HgI2,6,2.6522154422888855,0.9686780571937561,95.9212376933896,False
mp-541656,AuCl2_mp-541656.cif,AuCl2,12,2.296840932176774,0.9683986306190491,95.78059071729957,False
mp-647579,ZnBr2_mp-647579.cif,ZnBr2,48,2.4128401736695113,0.9681465029716492,95.63994374120956,False
mp-573815,ReI3_mp-573815.cif,ReI3,24,2.6454175357057452,0.9679379463195801,95.49929676511954,False
mp-27340,ReCl4_mp-27340.cif,ReCl4,20,2.2812815763981367,0.9670761823654175,95.21800281293952,False
mp-2360071,CuBr2_mp-2360071.cif,CuBr2,3,2.41678768050586,0.9670758843421936,95.0773558368495,False
mp-23292,HgBr2_mp-23292.cif,HgBr2,6,2.4866636292438953,0.9665284752845764,94.9367088607595,False
mp-22855,HgCl2_mp-22855.cif,HgCl2,12,2.3125146057315416,0.9660963416099548,94.79606188466948,False
mp-554799,VF4_mp-554799.cif,VF4,10,1.7401417123302503,0.9643712043762207,94.65541490857946,False
mp-567273,HfI4_mp-567273.cif,HfI4,40,2.6508097505473387,0.9642056822776794,94.51476793248945,False
mp-29422,HfCl4_mp-29422.cif,HfCl4,10,2.301907751561549,0.9637612700462341,94.37412095639944,False
mp-541112,ZrI4_mp-541112.cif,ZrI4,20,2.712835209816397,0.9630309343338013,94.23347398030943,False
mp-568108,InBr2_mp-568108.cif,InBr2,24,2.5312629827581086,0.962858259677887,94.09282700421942,False
mp-1204035,W15I47_mp-1204035.cif,W15I47,62,2.801522661050794,0.9624566435813904,93.95218002812939,False
mp-571436,SnI4_mp-571436.cif,SnI4,5,2.6869739649305036,0.9615957140922546,93.81153305203938,False
mp-28320,Pt3I8_mp-28320.cif,Pt3I8,44,2.6231106110454645,0.9605512022972107,93.67088607594937,False
mp-27780,TcCl4_mp-27780.cif,TcCl4,40,2.242521451047413,0.960292637348175,93.38959212376933,False
mp-571627,CaCl2_mp-571627.cif,CaCl2,12,2.612652154736221,0.9600956439971924,93.24894514767934,False
mp-29312,InI2_mp-29312.cif,InI2,24,2.745211734953365,0.9595760107040405,93.10829817158931,False
mp-1194880,W5I16_mp-1194880.cif,W5I16,84,2.7988055872009885,0.9592333436012268,92.9676511954993,False
mp-23290,PtCl2_mp-23290.cif,PtCl2,18,2.3186966141095935,0.9588643312454224,92.82700421940928,False
mp-1196387,W3I8_mp-1196387.cif,W3I8,88,2.784293298249384,0.9587695598602295,92.68635724331928,False
mp-28880,W3Br7_mp-28880.cif,W3Br7,80,2.5458491413807582,0.9587616920471191,92.54571026722925,False
mp-541013,TiI4_mp-541013.cif,TiI4,10,2.588768936834199,0.9585390686988831,92.40506329113924,False
mp-541103,MnF4_mp-541103.cif,MnF4,40,1.7121103255751786,0.9584380388259888,92.26441631504923,False
mp-27857,PdBr2_mp-27857.cif,PdBr2,24,2.4489677654363593,0.958070695400238,92.12376933895922,False
