formula,median_percentile_all6,min_percentile_all6,max_percentile_all6,n_configs_top20,n_configs_top10
InI3,96.9057665260197,71.58931082981715,98.45288326300984,5,5
AlBr3,100.0,73.55836849507736,100.0,5,5
ZnCl2,90.9985935302391,43.319268635724335,94.51476793248943,5,4
SnCl2,59.84528832630099,53.30520393811533,72.29254571026723,0,0
