soap_config,alpha,lopo_mean_percentile_mean_agg,lopo_min_percentile_mean_agg,lopo_mean_percentile_nearest_agg,lopo_min_percentile_nearest_agg
short,0.1,75.92927466345188,19.40928270042194,72.03134418324291,20.112517580872012
short,1.0,73.98030942334739,18.70604781997187,76.3311231665662,19.69057665260197
short,10.0,73.9803094233474,18.9873417721519,76.49186256781194,20.956399437412095
baseline,0.1,75.98955193891902,20.253164556962027,75.36668675909182,21.80028129395218
baseline,1.0,76.49186256781195,27.70745428973277,75.708257986739,23.347398030942333
baseline,10.0,77.11472774763914,34.88045007032349,75.68816556158329,24.47257383966245
