k,pooled_mean_pct,pooled_median_pct,pooled_min_pct,pooled_top20_count,pooled_top10_count
4,74.56082200861783,79.58236658932715,20.185614849187935,6,2
3,73.21842890288367,77.61020881670532,20.185614849187935,6,3
2,72.1909181305933,74.94199535962878,20.417633410672853,5,3
1,66.70533642691416,73.08584686774942,16.70533642691415,4,1
