config,selected_k,group,formula,material_id,score,formula_background_percentile
short,4,known,AlCl3,mp-25470,0.9940024614334106,75.63805104408353
short,4,known,FeCl3,mp-23204,1.0000001192092896,100.0
short,4,known,GaF3,mp-588,0.9988030791282654,93.50348027842227
short,4,known,InBr3,mp-570219,0.9999999403953552,100.0
short,4,known,TaCl5,mp-29831,1.0,100.0
short,4,known,ZrCl4,mp-569175,0.9980684518814087,90.02320185614849
short,4,known,GaCl3,mp-30952,1.000000238418579,100.0
short,4,blind,InI3,mp-567789,0.9830276370048523,48.49187935034803
short,4,blind,AlBr3,mp-23288,0.9968346357345581,84.22273781902551
short,4,blind,ZnCl2,mp-22909,0.9638486504554749,20.417633410672853
short,4,blind,SnCl2,mp-29179,0.9782260656356812,35.498839907192576
baseline,4,known,AlCl3,mp-25470,0.996927797794342,85.1508120649652
baseline,4,known,FeCl3,mp-23204,0.9999998807907104,100.0
baseline,4,known,GaF3,mp-588,0.9991203546524048,92.5754060324826
baseline,4,known,InBr3,mp-570219,0.9999999403953552,100.0
baseline,4,known,TaCl5,mp-29831,0.9970696568489075,85.61484918793504
baseline,4,known,ZrCl4,mp-569175,1.0000001192092896,100.0
baseline,4,known,GaCl3,mp-30952,0.9999998211860657,100.0
baseline,4,blind,InI3,mp-567789,0.9795076847076416,33.17865429234338
baseline,4,blind,AlBr3,mp-23288,0.997227668762207,86.07888631090486
baseline,4,blind,ZnCl2,mp-22909,0.9619503021240234,19.721577726218097
baseline,4,blind,SnCl2,mp-29179,0.9789153933525085,32.25058004640371
