config,selected_k,prototype_no,source_formula,source_material_id,source_site,source_center_posthoc,posthoc_best_m,posthoc_best_psi,posthoc_psi6,posthoc_planarity,posthoc_radial_cv,facility_step_value,train_min_coverage_after_step,train_mean_coverage_after_step
short,4,1,FeCl3,mp-23204,4,X,5,0.6588087074050031,0.6094776160134345,0.1856154738151163,0.03837388211828208,6.892823219299316,0.9472464323043823,0.9846890568733215
short,4,2,GaCl3,mp-30952,0,M,5,0.860402825967718,0.599127688589013,0.1426225260323646,0.2714447473405899,6.9455766677856445,0.9805256128311157,0.9922252297401428
short,4,3,InBr3,mp-570219,3,X,6,0.7464870103240691,0.7464870103240691,0.18807118882251167,0.016394642519512816,6.977360725402832,0.9910686612129211,0.9967657923698425
short,4,4,TaCl5,mp-29831,24,X,10,0.5781716358021961,0.21234352971226125,0.2402072191802226,0.05181986239705374,6.990874290466309,0.9940024614334106,0.9986963272094727
baseline,4,1,FeCl3,mp-23204,3,X,5,0.6588085410103797,0.6094776730749485,0.18561546217886696,0.038373869651538516,6.9084391593933105,0.9520702958106995,0.9869198799133301
baseline,4,2,ZrCl4,mp-569175,0,M,4,0.7613757644761275,0.2538937390664707,0.32195577232524425,0.05858626775485908,6.964329242706299,0.9853523969650269,0.9949041604995728
baseline,4,3,GaCl3,mp-30952,0,M,5,0.860402825967718,0.599127688589013,0.1426225260323646,0.2714447473405899,6.978976726531982,0.991778552532196,0.9969967007637024
baseline,4,4,InBr3,mp-570219,3,X,6,0.7464870103240691,0.7464870103240691,0.18807118882251167,0.016394642519512816,6.9931182861328125,0.9969278573989868,0.9990168809890747
