config,heldout_formula,heldout_material_id,heldout_formula_background_percentile,motif_origin_formula,motif_origin_center_posthoc,train_commonality_min,train_commonality_mean,formula_background_prev95,blind_InI3_pct,blind_AlBr3_pct,blind_ZnCl2_pct,blind_SnCl2_pct
short,AlCl3,mp-25470,44.5475638051044,GaCl3,M,0.8586453199386597,0.8899640321731568,0.048723897911832945,95.1276102088167,100.0,94.66357308584686,45.93967517401392
short,FeCl3,mp-23204,81.90255220417633,GaCl3,X,0.8826266527175903,0.9229875087738038,0.15777262180974477,96.2877030162413,100.0,87.70301624129931,51.508120649651964
short,GaF3,mp-588,54.060324825986086,GaCl3,X,0.8826266527175903,0.9307996153831481,0.15777262180974477,96.2877030162413,100.0,87.70301624129931,51.508120649651964
short,InBr3,mp-570219,55.68445475638051,GaCl3,X,0.8826266527175903,0.9302679300308228,0.15777262180974477,96.2877030162413,100.0,87.70301624129931,51.508120649651964
short,TaCl5,mp-29831,87.00696055684455,GaCl3,X,0.8826266527175903,0.9215858817100525,0.15777262180974477,96.2877030162413,100.0,87.70301624129931,51.508120649651964
short,ZrCl4,mp-569175,89.32714617169374,GaCl3,X,0.8826266527175903,0.9206324338912963,0.15777262180974477,96.2877030162413,100.0,87.70301624129931,51.508120649651964
short,GaCl3,mp-30952,47.33178654292343,FeCl3,M,0.9155822396278381,0.9581302285194397,0.2691415313225058,49.651972157772626,38.2830626450116,50.580046403712295,37.12296983758701
baseline,AlCl3,mp-25470,40.37122969837587,GaCl3,X,0.9245362877845764,0.9397817611694336,0.16937354988399073,95.1276102088167,100.0,92.34338747099768,63.10904872389791
baseline,FeCl3,mp-23204,76.5661252900232,GaCl3,X,0.9135806560516357,0.9340815901756286,0.16937354988399073,95.1276102088167,100.0,92.34338747099768,63.10904872389791
baseline,GaF3,mp-588,56.61252900232019,GaCl3,X,0.9135806560516357,0.9375906348228454,0.16937354988399073,95.1276102088167,100.0,92.34338747099768,63.10904872389791
baseline,InBr3,mp-570219,60.092807424593964,GaCl3,X,0.9135806560516357,0.9369236469268799,0.16937354988399073,95.1276102088167,100.0,92.34338747099768,63.10904872389791
baseline,TaCl5,mp-29831,77.49419953596288,GaCl3,X,0.9135806560516357,0.933767557144165,0.16937354988399073,95.1276102088167,100.0,92.34338747099768,63.10904872389791
baseline,ZrCl4,mp-569175,90.95127610208816,GaCl3,X,0.9135806560516357,0.9303442716598511,0.16937354988399073,95.1276102088167,100.0,92.34338747099768,63.10904872389791
baseline,GaCl3,mp-30952,45.93967517401392,TaCl5,X,0.9761593341827393,0.9830282211303711,0.5498839907192575,72.62180974477958,45.707656612529,33.17865429234338,37.58700696055685
