,AlCl3,FeCl3,GaF3,InBr3,TaCl5,ZrCl4,GaCl3
AlCl3,1.0,0.9846532344818115,0.9912956953048706,0.9934539794921875,0.9716528058052063,0.9746188521385193,0.9241993427276611
FeCl3,0.9846532344818115,1.0,0.9899623394012451,0.9927457571029663,0.9852420091629028,0.9888907074928284,0.9578166007995605
GaF3,0.9912956953048706,0.9899623394012451,1.0,0.9972373247146606,0.9770822525024414,0.9815959334373474,0.935329020023346
InBr3,0.9934539794921875,0.9927457571029663,0.9972373247146606,1.0,0.9794610738754272,0.983772873878479,0.9376717209815979
TaCl5,0.9716528058052063,0.9852420091629028,0.9770822525024414,0.9794610738754272,1.0,0.9957656860351562,0.9598746299743652
ZrCl4,0.9746188521385193,0.9888907074928284,0.9815959334373474,0.983772873878479,0.9957656860351562,1.0,0.9681335687637329
GaCl3,0.9241993427276611,0.9578166007995605,0.935329020023346,0.9376717209815979,0.9598746299743652,0.9681335687637329,1.0
