block,group,formula,material_id,matched_site,score,percentile_vs_background
MM,known,AlCl3,mp-25470,2,0.7883620858192444,78.62165963431787
MM,known,FeCl3,mp-23204,2,0.869592010974884,92.12376933895922
MM,known,GaF3,mp-588,3,0.7014503479003906,58.22784810126582
MM,known,InBr3,mp-570219,2,0.7935993671417236,79.0436005625879
MM,known,TaCl5,mp-29831,12,0.9656035304069519,98.45288326300985
MM,known,ZrCl4,mp-569175,3,0.918560266494751,94.37412095639944
MM,known,GaCl3,mp-30952,3,1.000000238418579,100.0
MM,blind,InI3,mp-567789,5,0.8637878894805908,91.13924050632912
MM,blind,AlBr3,mp-23288,12,0.9804043769836426,100.0
MM,blind,ZnCl2,mp-22909,4,0.768710732460022,75.9493670886076
MM,blind,SnCl2,mp-29179,20,0.713333249092102,63.29113924050633
MX,known,AlCl3,mp-25470,2,0.8722438812255859,77.63713080168776
MX,known,FeCl3,mp-23204,2,0.9107349514961243,85.23206751054853
MX,known,GaF3,mp-588,3,0.8190411925315857,58.93108298171589
MX,known,InBr3,mp-570219,2,0.824122428894043,62.30661040787623
MX,known,TaCl5,mp-29831,12,0.9676474332809448,97.46835443037975
MX,known,ZrCl4,mp-569175,3,0.9410833120346069,89.87341772151899
MX,known,GaCl3,mp-30952,2,0.9999999403953552,100.0
MX,blind,InI3,mp-567789,5,0.9228192567825317,86.63853727144867
MX,blind,AlBr3,mp-23288,12,0.9915961027145386,100.0
MX,blind,ZnCl2,mp-22909,5,0.8380969166755676,67.9324894514768
MX,blind,SnCl2,mp-29179,16,0.824641227722168,62.447257383966246
XX,known,AlCl3,mp-25470,2,0.885135293006897,20.81575246132208
XX,known,FeCl3,mp-23204,2,0.9520555734634399,75.38677918424754
XX,known,GaF3,mp-588,2,0.9198513627052307,56.118143459915615
XX,known,InBr3,mp-570219,2,0.9211678504943848,57.102672292545705
XX,known,TaCl5,mp-29831,24,0.9712110161781311,86.21659634317862
XX,known,ZrCl4,mp-569175,2,0.972810685634613,87.34177215189874
XX,known,GaCl3,mp-30952,2,1.0,100.0
XX,blind,InI3,mp-567789,5,0.9848418235778809,93.24894514767934
XX,blind,AlBr3,mp-23288,12,0.9970137476921082,98.17158931082982
XX,blind,ZnCl2,mp-22909,2,0.9848459362983704,93.24894514767934
XX,blind,SnCl2,mp-29179,16,0.9309191703796387,62.0253164556962
