config,group,formula,material_id,matched_site,matched_center,soap_similarity,nX_available,six_X_distances_scaled,radial_cv,planarity_ratio,best_m,best_psi,psi6,psi2,psi3,psi4,psi5,psi7,psi8,psi9,psi10
radial_rich,blind,InI3,mp-567789,5,X,0.9781458973884583,6,"[1.5654070923774799, 1.6454291446234746, 1.6569518380502477, 1.675635832333438, 1.6790106763445798, 1.688324767922625]",0.024928932059050436,0.1712894900953574,6,0.9544334820819784,0.9544334820819784,0.07330467713115792,0.005075002909692535,0.13022662764369886,0.024527962760290577,0.028608945000508996,0.3118903569469693,0.024670443990036598,0.27003425030498335
radial_rich,blind,AlBr3,mp-23288,4,X,0.9949756264686584,6,"[1.6942901793582306, 1.7151596808551872, 1.739052492813741, 1.7911965377618149, 1.810445529435027, 1.8278998216400864]",0.028210230254350443,0.1675420084347878,2,0.4554229742907943,0.41090883805920353,0.4554229742907943,0.3657934307609262,0.33337677029884794,0.16554976266674454,0.1382577536677644,0.3942125265438037,0.19581360520898008,0.24460979691888504
radial_rich,blind,ZnCl2,mp-22909,4,X,0.9603819847106934,6,"[1.6092275310833475, 1.6092276191097727, 1.6092276356427955, 1.609227661681357, 1.6732370748467567, 1.6732370834046595]",0.018505468270525707,0.17699225723866122,8,0.8989827197343573,0.5661799718277145,0.2520832356667527,4.051024478422659e-07,0.3302617144254836,6.648577809780614e-07,8.934470278083932e-07,0.8989827197343573,1.1821066302271111e-06,0.20664088094017893
radial_rich,blind,SnCl2,mp-29179,16,X,0.9312807321548462,6,"[1.3417326668947447, 1.3440049948579087, 1.3483905355824837, 1.348390535582484, 1.4016670454087443, 1.4056390463214632]",0.020130086812446667,0.2392969135665146,10,0.6853326874822014,0.5700067570983205,0.16225989008771619,0.18278465785791714,0.35143347198559227,0.2674933018261912,0.29510770055349744,0.4496570947551128,0.339461940700038,0.6853326874822014
angular_rich,known,AlCl3,mp-25470,2,X,0.9096679091453552,6,"[1.266964637557499, 1.2669646912092083, 1.2669646912092083, 1.333170007536183, 1.3331700585235424, 1.3331700585235426]",0.025462283867169012,0.21903229722071818,10,0.9628331899163683,0.13559947461122174,0.5064479015175506,0.04049320978573738,0.2410405124772449,0.009309583818920367,0.10094415178314234,0.6589577259094754,0.0506128626681991,0.9628331899163683
angular_rich,known,FeCl3,mp-23204,2,X,0.9391902685165405,6,"[1.3113286049383277, 1.4279545537820248, 1.4279546039768805, 1.4284195069861843, 1.4284195571841742, 1.4957430359221935]",0.03837387982776586,0.18558360346127767,5,0.6591517485421634,0.610305341747848,0.23920930730931353,0.19906008978396633,0.38421701863977237,0.6591517485421634,0.2910901523753872,0.4163646299466713,0.289634021981063,0.20316346363504342
angular_rich,known,GaF3,mp-588,2,X,0.9213003516197205,6,"[1.4120833031859283, 1.4120835702000134, 1.412083654239902, 1.4120836658473486, 1.4163405076922762, 1.4163405235704223]",0.0014197028749827548,0.2224143189050394,6,0.4402918315479518,0.4402918315479518,0.07628229413099509,0.2653584122287285,0.23955919047813096,0.35816956521285725,0.15593387350111754,0.263799834565166,0.13401138549697456,0.007250470737856922
angular_rich,known,InBr3,mp-570219,2,X,0.9240201711654663,6,"[1.3743965773352869, 1.417440904796191, 1.4174409693290924, 1.4201545368816835, 1.4201545459867284, 1.4521555544329363]",0.01596705647145062,0.18917937395481393,6,0.7505095390493883,0.7505095390493883,0.2139870120319361,0.16513188181944674,0.4390614664219662,0.5226118111408069,0.0921303602982593,0.49435868341270617,0.25735712889640694,0.2939603149651223
angular_rich,known,TaCl5,mp-29831,10,X,0.9412762522697449,6,"[1.457379806168405, 1.458036679439332, 1.49384315995361, 1.5297723084462833, 1.6330489927041243, 1.644012421241659]",0.04983756474321307,0.1583591588962993,5,0.8140398180754684,0.5589256842897625,0.07944392874917659,0.10158403314869355,0.2192511757756334,0.8140398180754684,0.3033567031962065,0.10310687408509282,0.1290744433185003,0.4219355367687178
angular_rich,known,ZrCl4,mp-569175,2,X,0.9573425650596619,6,"[1.5176288422171065, 1.5182404105335374, 1.5400155864699498, 1.5783501809479108, 1.6313100593032355, 1.6313100593032355]",0.030674893427533333,0.18633723093774993,6,0.8034117503918913,0.8034117503918913,0.17440191817960396,0.2974163793668625,0.5135952433678386,0.5601183698710929,0.04845779510674512,0.21997174375067752,0.08337334545404088,0.6360329424872422
angular_rich,known,GaCl3,mp-30952,6,X,1.0000001192092896,6,"[1.7194746256370799, 1.719630854056643, 1.751670601342099, 1.7698046926209585, 1.7709655844769991, 1.8130834692913755]",0.018490943128540098,0.14435697920819313,8,0.7656263520876815,0.3999453611127494,0.5094678576868245,0.32788384776123136,0.07529163299453843,0.7216719074022176,0.7125796502188714,0.7656263520876815,0.07839973241726574,0.31296960332211493
angular_rich,blind,InI3,mp-567789,6,X,0.9667403697967529,6,"[1.5871384991434663, 1.593534012055091, 1.6230544268245453, 1.6384761941303256, 1.6569518380502475, 1.6759118937248438]",0.019598941558768124,0.1993116443090341,6,0.6396340127813381,0.6396340127813381,0.19289627035076318,0.21655803366332063,0.4969684942821674,0.4824080275464409,0.20398093732886796,0.5599264278454852,0.17989699410347482,0.2976755155899961
angular_rich,blind,AlBr3,mp-23288,8,X,0.9965660572052002,6,"[1.702119864583088, 1.7071365176404814, 1.7390524928137416, 1.7911965377618146, 1.8104455294350268, 1.8221411329355162]",0.02735419795498678,0.2258445050437832,5,0.6455607725383724,0.1313183394133993,0.07115978448075592,0.14875712454590279,0.21541466940254017,0.6455607725383724,0.30994708912061475,0.20964827348855253,0.21198333775789127,0.3053542021073328
angular_rich,blind,ZnCl2,mp-22909,2,X,0.9605028033256531,6,"[1.609227507203553, 1.6092276356427957, 1.6092276452260406, 1.609227661681357, 1.6732370748467564, 1.6732371013291518]",0.018505470661788363,0.22190449779824042,4,0.600289984716045,0.33928715551620026,0.15830747344640486,0.04279703363370458,0.600289984716045,0.26528116321969203,0.28788109149947966,0.27144799002042685,0.08674313284639093,0.22800672360079485
