config,selected_k,formula,best_polymorph_score,formula_background_percentile,reserved_formula
short,4,AcBr3,0.9792103171348572,37.35498839907193,False
short,4,AcCl3,0.9800756573677063,40.13921113689095,False
short,4,Ag2F5,0.9917625188827515,70.30162412993039,False
short,4,Ag2F,0.3828766942024231,0.6960556844547563,False
short,4,Ag3F8,0.9931942820549011,73.78190255220419,False
short,4,AgBr,0.8047839403152466,8.120649651972158,False
short,4,AgCl,0.807833194732666,9.280742459396752,False
short,4,AgF2,0.9815189838409424,44.08352668213457,False
short,4,AgF,0.8047839403152466,8.120649651972158,False
short,4,AgI,0.822516679763794,12.761020881670534,False
short,4,AlBr3,0.9968346357345581,84.22273781902551,True
short,4,AlCl3,0.9985038638114929,91.87935034802784,True
short,4,AlF3,0.99605792760849,81.67053364269141,False
short,4,AlI3,0.9881551861763,58.93271461716937,False
short,4,Au3F8,0.9891944527626038,62.87703016241299,False
short,4,AuBr3,0.9895920753479004,64.03712296983758,False
short,4,AuBr,0.7749946713447571,2.320185614849188,False
short,4,AuCl2,0.9691266417503357,26.218097447795824,False
short,4,AuCl3,0.9864376187324524,56.61252900232019,False
short,4,AuCl,0.7477128505706787,1.8561484918793503,False
short,4,AuF5,0.9913885593414307,69.37354988399072,False
short,4,AuI,0.7792071104049683,2.784222737819025,False
short,4,BaBr2,0.9659212827682495,22.73781902552204,False
short,4,BaCl2,0.9668711423873901,24.825986078886313,False
short,4,BaF2,0.9713016152381897,28.074245939675173,False
short,4,BaF3,0.9900243282318115,65.66125290023201,False
short,4,BaI2,0.9666571021080017,24.593967517401392,False
short,4,BeBr2,0.9645589590072632,21.57772621809745,False
short,4,BeCl2,0.9641434550285339,21.11368909512761,False
short,4,BeF2,0.952601432800293,18.329466357308586,False
short,4,BeI2,0.9636871814727783,20.417633410672853,False
short,4,Bi4I,0.34783098101615906,0.46403712296983757,False
short,4,Bi6Br7,0.8856126070022583,14.617169373549885,False
short,4,Bi6Cl7,0.8968035578727722,15.31322505800464,False
short,4,Bi9I2,0.3463692367076874,0.23201856148491878,False
short,4,BiBr3,0.9975794553756714,87.00696055684455,False
short,4,BiBr,0.8422231674194336,13.45707656612529,False
