group,formula,material_id,multiproto_median_pct,multiproto_min_pct,multiproto_max_pct,configs_top20,configs_top10
blind,AlBr3,mp-23288,85.15081206496518,84.22273781902551,86.07888631090486,2,0
blind,InI3,mp-567789,40.835266821345705,33.17865429234338,48.49187935034803,0,0
blind,SnCl2,mp-29179,33.874709976798144,32.25058004640371,35.498839907192576,0,0
blind,ZnCl2,mp-22909,20.069605568445475,19.721577726218097,20.417633410672853,0,0
known,AlCl3,mp-25470,80.39443155452436,75.63805104408353,85.1508120649652,1,0
known,FeCl3,mp-23204,100.0,100.0,100.0,2,2
known,GaCl3,mp-30952,100.0,100.0,100.0,2,2
known,GaF3,mp-588,93.03944315545243,92.5754060324826,93.50348027842227,2,2
known,InBr3,mp-570219,100.0,100.0,100.0,2,2
known,TaCl5,mp-29831,92.80742459396751,85.61484918793504,100.0,2,1
known,ZrCl4,mp-569175,95.01160092807424,90.02320185614849,100.0,2,2
