formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings,topology_max_frac_exact6,topology_any_fallback
ScCl,9.396751740139212,0.9280742459396751,12.761020881670534,8.546017014694508,0,0,6,False,2.742616033755274,0.8438818565400843,1.8987341772151896,0.8438818565400843,6.0,1.0,True
InBr,8.932714617169374,8.584686774941995,9.744779582366588,9.126063418406806,0,0,6,False,12.09563994374121,11.251758087201123,13.642756680731363,6.751054852320674,6.0,0.0,False
CsI,8.932714617169374,7.888631090487238,9.51276102088167,8.778035576179427,0,0,6,False,10.267229254571028,8.720112517580873,10.970464135021098,9.423347398030945,6.0,0.0,False
TlCl,8.584686774941995,7.888631090487238,10.208816705336426,8.894044856921886,0,0,6,False,10.90014064697609,10.68917018284107,10.90014064697609,6.891701828410689,6.0,1.0,True
InI,8.468677494199536,8.120649651972158,9.51276102088167,8.546017014694508,0,0,6,False,11.251758087201123,10.548523206751057,13.783403656821378,9.70464135021097,6.0,0.0,False
TlBr,8.468677494199536,7.424593967517401,10.208816705336426,8.623356535189481,0,0,6,False,10.478199718706048,9.282700421940929,12.939521800281296,9.423347398030945,6.0,1.0,True
TlI,8.120649651972156,7.192575406032482,9.976798143851507,8.352668213457076,0,0,6,False,10.056258790436006,9.142053445850914,13.0098452883263,9.985935302391,6.0,1.0,True
AgCl,7.65661252900232,6.960556844547564,9.048723897911833,7.695282289249806,0,0,6,False,10.267229254571026,9.0014064697609,13.783403656821378,11.533052039381154,6.0,1.0,True
KF,6.728538283062645,5.336426914153132,8.816705336426914,6.844547563805104,0,0,6,False,7.383966244725738,6.329113924050633,10.548523206751057,9.282700421940929,6.0,1.0,True
CsBr,6.728538283062645,4.872389791183294,8.816705336426914,6.728538283062645,0,0,6,False,5.69620253164557,5.485232067510549,9.49367088607595,7.59493670886076,6.0,0.0,False
CsF,6.728538283062645,3.480278422273782,8.816705336426914,6.496519721577727,0,0,6,False,8.368495077355837,6.469760900140647,11.533052039381154,8.438818565400844,6.0,1.0,True
KI,6.496519721577727,5.336426914153132,8.816705336426914,6.728538283062645,0,0,6,False,7.735583684950773,6.469760900140647,11.181434599156118,8.438818565400844,6.0,0.0,False
RbCl,6.496519721577727,5.336426914153132,8.816705336426914,6.728538283062645,0,0,6,False,8.227848101265824,7.735583684950773,11.462728551336149,9.0014064697609,6.0,1.0,True
LiBr,6.496519721577727,3.248259860788863,8.816705336426914,6.264501160092807,0,0,6,False,8.227848101265824,7.735583684950773,11.462728551336149,9.0014064697609,6.0,1.0,True
RbI,6.2645011600928076,3.7122969837587005,8.816705336426914,6.225831399845322,0,0,6,False,7.10267229254571,5.344585091420535,9.774964838255976,7.172995780590717,6.0,0.0,False
